IIN	Type	Name	Length
371724	Amex	AMEX	15
371725	Amex	AMEX	15
371726	Amex	AMEX	15
371727	Amex	AMEX	15
371728	Amex	AMEX	15
371729	Amex	AMEX	15
371730	Amex	AMEX	15
371731	Amex	AMEX	15
371732	Amex	AMEX	15
371733	Amex	AMEX	15
371734	Amex	AMEX	15
371735	Amex	AMEX	15
371736	Amex	AMEX	15
371737	Amex	AMEX	15
371738	Amex	AMEX	15
371739	Amex	AMEX	15
371740	Amex	AMEX	15
371741	Amex	AMEX	15
371742	Amex	AMEX	15
371743	Amex	AMEX	15
371744	Amex	AMEX	15
371745	Amex	AMEX	15
371746	Amex	AMEX	15
371747	Amex	AMEX	15
371748	Amex	AMEX	15
371749	Amex	AMEX	15
371750	Amex	AMEX	15
371751	Amex	AMEX	15
371752	Amex	AMEX	15
371753	Amex	AMEX	15
371754	Amex	AMEX	15
371755	Amex	AMEX	15
371756	Amex	AMEX	15
371757	Amex	AMEX	15
371758	Amex	AMEX	15
371759	Amex	AMEX	15
371760	Amex	AMEX	15
371761	Amex	AMEX	15
371762	Amex	AMEX	15
371763	Amex	AMEX	15
371764	Amex	AMEX	15
371765	Amex	AMEX	15
371766	Amex	AMEX	15
371767	Amex	AMEX	15
371768	Amex	AMEX	15
371769	Amex	AMEX	15
371770	Amex	AMEX	15
371771	Amex	AMEX	15
371772	Amex	AMEX	15
371773	Amex	AMEX	15
371774	Amex	AMEX	15
371775	Amex	AMEX	15
371776	Amex	AMEX	15
371777	Amex	AMEX	15
371778	Amex	AMEX	15
371779	Amex	AMEX	15
371780	Amex	AMEX	15
371781	Amex	AMEX	15
371782	Amex	AMEX	15
371783	Amex	AMEX	15
371784	Amex	AMEX	15
371785	Amex	AMEX	15
371786	Amex	AMEX	15
371787	Amex	AMEX	15
371788	Amex	AMEX	15
371789	Amex	AMEX	15
371790	Amex	AMEX	15
371791	Amex	AMEX	15
371792	Amex	AMEX	15
371793	Amex	AMEX	15
371794	Amex	AMEX	15
371795	Amex	AMEX	15
371796	Amex	AMEX	15
371797	Amex	AMEX	15
371798	Amex	AMEX	15
371799	Amex	AMEX	15
371800	Amex	GOLD	15
371801	Amex	GOLD	15
371802	Amex	GOLD	15
371803	Amex	GOLD	15
371804	Amex	GOLD	15
371805	Amex	GOLD	15
371806	Amex	GOLD	15
371807	Amex	GOLD	15
371808	Amex	GOLD	15
371809	Amex	GOLD	15
371810	Amex	GOLD	15
371811	Amex	GOLD	15
371812	Amex	GOLD	15
371813	Amex	GOLD	15
371814	Amex	GOLD	15
371815	Amex	GOLD	15
371816	Amex	GOLD	15
371817	Amex	GOLD	15
371818	Amex	GOLD	15
371819	Amex	GOLD	15
371820	Amex	GOLD	15
371821	Amex	GOLD	15
371822	Amex	GOLD	15
371823	Amex	GOLD	15
371824	Amex	GOLD	15
371825	Amex	GOLD	15
371826	Amex	GOLD	15
371827	Amex	GOLD	15
371828	Amex	GOLD	15
371829	Amex	GOLD	15
371830	Amex	GOLD	15
371831	Amex	GOLD	15
371832	Amex	GOLD	15
371833	Amex	GOLD	15
371834	Amex	GOLD	15
371835	Amex	GOLD	15
371836	Amex	GOLD	15
371837	Amex	GOLD	15
371838	Amex	GOLD	15
371839	Amex	GOLD	15
371840	Amex	GOLD	15
371841	Amex	GOLD	15
371842	Amex	GOLD	15
371843	Amex	GOLD	15
371844	Amex	GOLD	15
371845	Amex	GOLD	15
371846	Amex	GOLD	15
371847	Amex	GOLD	15
371848	Amex	GOLD	15
371849	Amex	GOLD	15
371850	Amex	GOLD	15
371851	Amex	GOLD	15
371852	Amex	GOLD	15
371853	Amex	GOLD	15
371854	Amex	GOLD	15
371855	Amex	GOLD	15
371856	Amex	GOLD	15
371857	Amex	GOLD	15
371858	Amex	GOLD	15
371859	Amex	GOLD	15
371860	Amex	GOLD	15
371861	Amex	GOLD	15
371862	Amex	GOLD	15
371863	Amex	GOLD	15
371864	Amex	GOLD	15
371865	Amex	GOLD	15
371866	Amex	GOLD	15
371867	Amex	GOLD	15
371868	Amex	GOLD	15
371869	Amex	GOLD	15
371870	Amex	GOLD	15
371871	Amex	GOLD	15
371872	Amex	GOLD	15
